date,close
2015-01-02,94.561150
2015-01-05,93.174026
2015-01-06,91.924751
2015-01-07,93.109764
2015-01-08,94.891861
2015-01-09,94.267212
2015-01-12,93.284286
2015-01-13,93.256729
2015-01-14,92.742310
2015-01-15,91.538940
2015-01-16,92.613708
2015-01-20,93.348579
2015-01-21,93.826256
2015-01-22,95.562416
2015-01-23,95.773697
2015-01-26,95.663460
2015-01-27,93.183281
2015-01-28,92.705574
2015-01-29,93.596596
2015-01-30,92.870903
2015-02-02,93.679283
2015-02-03,94.579506
2015-02-04,94.496864
2015-02-05,95.314384
2015-02-06,94.735687
2015-02-09,94.432510
2015-02-10,95.902313
2015-02-11,96.251366
2015-02-12,97.372040
2015-02-13,98.208015
2015-02-17,98.299881
2015-02-18,98.437668
2015-02-19,98.924515
2015-02-20,99.585915
2015-02-23,99.686943
2015-02-24,99.760452
2015-02-25,99.512436
2015-02-26,100.017654
2015-02-27,99.576736
2015-03-02,100.477005
2015-03-03,100.008476
2015-03-04,99.622673
2015-03-05,99.797180
2015-03-06,98.667305
2015-03-09,98.952080
2015-03-10,97.114883
2015-03-11,96.554512
2015-03-12,97.188354
2015-03-13,96.765808
2015-03-16,98.015106
2015-03-17,98.171295
2015-03-18,99.135818
2015-03-19,99.282776
2015-03-20,99.925423
2015-03-23,99.732079
2015-03-24,99.373001
2015-03-25,97.098808
2015-03-26,96.767387
2015-03-27,97.154083
2015-03-30,98.268143
2015-03-31,97.227730
2015-04-01,96.721344
2015-04-02,96.785782
2015-04-06,97.577614
2015-04-07,97.411873
2015-04-08,98.185280
2015-04-09,98.802162
2015-04-10,99.207268
2015-04-13,98.958694
2015-04-14,98.673264
2015-04-15,99.290123
2015-04-16,99.152023
2015-04-17,97.605209
2015-04-20,99.069160
2015-04-21,99.492706
2015-04-22,100.035927
2015-04-23,100.413429
2015-04-24,101.776062
2015-04-27,101.518295
2015-04-28,101.315704
2015-04-29,100.680374
2015-04-30,99.096786
2015-05-01,100.404198
2015-05-04,100.569923
2015-05-05,98.931068
2015-05-06,98.249748
2015-05-07,98.839005
2015-05-08,100.072769
2015-05-11,99.686050
2015-05-12,99.234917
2015-05-13,99.437439
2015-05-14,100.892212
2015-05-15,100.892212
2015-05-18,101.334152
2015-05-19,101.223618
2015-05-20,101.288109
2015-05-21,101.812912
2015-05-22,101.711647
2015-05-26,100.542328
2015-05-27,102.162743
2015-05-28,101.932587
2015-05-29,101.324936
2015-06-01,101.665611
2015-06-02,101.343338
2015-06-03,101.647171
2015-06-04,100.873764
2015-06-05,100.634384
2015-06-08,99.612396
2015-06-09,99.446648
2015-06-10,100.809341
2015-06-11,100.956635
2015-06-12,100.127998
2015-06-15,99.630775
2015-06-16,100.174042
2015-06-17,100.450218
2015-06-18,101.914169
2015-06-19,101.410301
2015-06-22,102.157822
2015-06-23,102.240875
2015-06-24,101.714844
2015-06-25,101.511818
2015-06-26,100.838188
2015-06-29,98.457260
2015-06-30,98.807938
2015-07-01,99.592361
2015-07-02,99.620026
2015-07-06,99.389305
2015-07-07,99.638458
2015-07-08,97.903557
2015-07-09,97.848167
2015-07-10,99.343170
2015-07-13,101.087311
2015-07-14,101.751785
2015-07-15,101.862518
2015-07-16,103.302116
2015-07-17,104.824829
2015-07-20,105.184700
2015-07-21,105.120117
2015-07-22,103.929642
2015-07-23,103.542061
2015-07-24,102.526962
2015-07-27,101.677940
2015-07-28,102.554649
2015-07-29,102.942200
2015-07-30,103.431328
2015-07-31,103.311348
2015-08-03,102.988373
2015-08-04,102.794594
2015-08-05,103.588203
2015-08-06,101.927086
2015-08-07,101.797874
2015-08-10,102.960670
2015-08-11,101.641029
2015-08-12,101.991730
2015-08-13,101.825577
2015-08-14,101.982460
2015-08-17,102.831482
2015-08-18,102.305435
2015-08-19,101.631790
2015-08-20,98.817162
2015-08-21,94.498283
2015-08-24,90.862305
2015-08-25,90.520851
2015-08-26,95.079674
2015-08-27,97.488281
2015-08-28,97.469810
2015-08-31,96.260910
2015-09-01,93.252464
2015-09-02,95.882530
2015-09-03,95.411896
2015-09-04,94.276833
2015-09-08,96.934555
2015-09-09,95.845642
2015-09-10,96.888451
2015-09-11,97.423691
2015-09-14,97.128365
2015-09-15,98.272667
2015-09-16,98.826378
2015-09-17,98.863304
2015-09-18,97.457176
2015-09-21,97.762444
2015-09-22,96.300819
2015-09-23,96.374870
2015-09-24,96.023315
2015-09-25,95.209206
2015-09-28,92.498749
2015-09-29,92.017723
2015-09-30,94.136131
2015-10-01,94.561729
2015-10-02,96.217567
2015-10-05,97.595940
2015-10-06,97.133392
2015-10-07,97.716209
2015-10-08,98.104736
2015-10-09,98.548767
2015-10-12,98.789299
2015-10-13,98.150993
2015-10-14,97.993698
2015-10-15,99.603363
2015-10-16,100.019646
2015-10-19,100.593201
2015-10-20,100.075150
2015-10-21,99.464584
2015-10-22,101.490540
2015-10-23,104.330513
2015-10-26,104.395287
2015-10-27,104.608055
2015-10-28,105.477623
2015-10-29,105.311073
2015-10-30,104.839310
2015-11-02,106.023430
2015-11-03,106.393463
2015-11-04,106.402679
2015-11-05,106.115921
2015-11-06,106.189941
2015-11-09,105.061310
2015-11-10,104.793060
2015-11-11,104.663536
2015-11-12,103.645943
2015-11-13,101.610786
2015-11-16,103.072411
2015-11-17,103.137177
2015-11-18,105.116844
2015-11-19,105.190834
2015-11-20,105.903168
2015-11-23,105.597870
2015-11-24,105.505371
2015-11-25,105.597870
2015-11-27,105.745895
2015-11-30,105.477623
2015-12-01,106.532166
2015-12-02,105.875374
2015-12-03,104.080734
2015-12-04,106.513733
2015-12-07,106.032684
2015-12-08,106.041908
2015-12-09,104.432274
2015-12-10,104.904060
2015-12-11,102.489624
2015-12-14,103.266678
2015-12-15,103.895744
2015-12-16,105.440613
2015-12-17,103.904968
2015-12-18,101.911835
2015-12-21,103.043877
2015-12-22,103.721306
2015-12-23,104.491432
2015-12-24,104.472855
2015-12-28,104.417206
2015-12-29,106.059563
2015-12-30,105.103813
2015-12-31,103.795494
2016-01-04,101.605629
2016-01-05,101.429306
2016-01-06,100.455025
2016-01-07,97.309441
2016-01-08,96.511436
2016-01-11,96.808365
2016-01-12,97.931145
2016-01-13,94.553589
2016-01-14,96.567108
2016-01-15,93.569962
2016-01-19,93.774132
2016-01-20,93.486435
2016-01-21,93.579254
2016-01-22,96.288734
2016-01-25,94.859756
2016-01-26,95.713440
2016-01-27,93.328697
2016-01-28,94.646332
2016-01-29,96.622772
2016-02-01,96.882599
2016-02-02,94.785515
2016-02-03,94.330841
2016-02-04,94.321579
2016-02-05,91.046051
2016-02-08,89.654213
2016-02-09,89.375832
2016-02-10,89.719177
2016-02-11,89.589249
2016-02-12,90.953262
2016-02-16,93.003960
2016-02-17,95.110291
2016-02-18,94.024658
2016-02-19,94.303024
2016-02-22,95.834076
2016-02-23,94.256630
2016-02-24,95.156723
2016-02-25,96.093872
2016-02-26,95.973244
2016-02-29,95.110291
2016-03-01,98.163094
2016-03-02,98.200226
2016-03-03,98.014656
2016-03-04,98.051750
2016-03-07,97.448631
2016-03-08,96.641342
2016-03-09,97.263039
2016-03-10,97.114609
2016-03-11,98.812622
2016-03-14,98.979652
2016-03-15,98.942543
2016-03-16,99.824066
2016-03-17,99.768364
2016-03-18,99.924744
2016-03-21,100.315590
2016-03-22,100.622711
2016-03-23,99.794434
2016-03-24,99.822365
2016-03-28,99.682777
2016-03-29,101.283508
2016-03-30,101.776749
2016-03-31,101.627884
2016-04-01,102.707420
2016-04-04,102.316513
2016-04-05,101.330025
2016-04-06,102.995880
2016-04-07,101.516151
2016-04-08,101.441711
2016-04-11,101.069443
2016-04-12,101.916321
2016-04-13,103.219254
2016-04-14,103.228539
2016-04-15,102.967979
2016-04-18,103.517067
2016-04-19,102.884224
2016-04-20,102.967979
2016-04-21,102.977272
2016-04-22,101.423065
2016-04-25,101.423065
2016-04-26,100.929848
2016-04-27,100.120186
2016-04-28,98.910324
2016-04-29,98.389130
2016-05-02,99.319809
2016-05-03,98.398445
2016-05-04,97.765610
2016-05-05,97.737701
2016-05-06,98.258858
2016-05-09,98.538048
2016-05-10,99.887505
2016-05-11,98.984764
2016-05-12,98.547356
2016-05-13,98.184387
2016-05-16,99.412872
2016-05-17,98.165810
2016-05-18,98.519424
2016-05-19,98.007591
2016-05-20,99.087120
2016-05-23,98.956841
2016-05-24,100.939148
2016-05-25,101.665039
2016-05-26,101.962891
2016-05-27,102.493340
2016-05-31,102.688797
2016-06-01,102.698074
2016-06-02,102.912148
2016-06-03,102.428215
2016-06-06,102.800461
2016-06-07,102.539864
2016-06-08,102.716713
2016-06-09,102.549171
2016-06-10,101.385864
2016-06-13,100.538940
2016-06-14,100.538940
2016-06-15,100.250450
2016-06-16,100.548294
2016-06-17,99.369720
2016-06-20,99.994942
2016-06-21,100.312180
2016-06-22,100.069572
2016-06-23,101.497292
2016-06-24,97.316811
2016-06-27,95.385254
2016-06-28,97.475433
2016-06-29,99.201744
2016-06-30,100.349495
2016-07-01,100.853401
2016-07-05,100.237549
2016-07-06,101.058678
2016-07-07,101.357285
2016-07-08,102.924973
2016-07-11,103.512848
2016-07-12,104.035408
2016-07-13,103.783455
2016-07-14,104.492622
2016-07-15,104.324677
2016-07-18,105.015175
2016-07-19,104.632614
2016-07-20,105.855003
2016-07-21,105.612411
2016-07-22,106.050957
2016-07-25,106.060303
2016-07-26,106.181610
2016-07-27,106.918785
2016-07-28,107.292053
2016-07-29,107.525307
2016-08-01,108.094521
2016-08-02,107.273384
2016-08-03,107.627975
2016-08-04,107.935905
2016-08-05,108.971695
2016-08-08,108.850388
2016-08-09,109.102333
2016-08-10,108.822395
2016-08-11,109.288979
2016-08-12,109.363609
2016-08-15,109.830170
2016-08-16,109.223648
2016-08-17,109.419579
2016-08-18,109.447594
2016-08-19,109.419579
2016-08-22,109.503601
2016-08-23,109.699539
2016-08-24,108.990341
2016-08-25,108.813057
2016-08-26,108.971695
2016-08-29,109.121002
2016-08-30,108.766403
2016-08-31,108.654434
2016-09-01,108.934334
2016-09-02,109.288979
2016-09-06,109.970146
2016-09-07,110.035469
2016-09-08,109.391609
2016-09-09,106.638863
2016-09-12,108.551781
2016-09-13,107.581337
2016-09-14,108.094521
2016-09-15,109.774178
2016-09-16,109.721809
2016-09-19,109.244720
2016-09-20,109.450531
2016-09-21,110.526314
2016-09-22,111.405655
2016-09-23,110.694702
2016-09-26,109.768578
2016-09-27,110.853729
2016-09-28,111.040840
2016-09-29,110.236305
2016-09-30,111.059525
2016-10-03,110.900536
2016-10-04,110.732101
2016-10-05,111.125031
2016-10-06,111.068909
2016-10-07,110.825684
2016-10-10,111.527290
2016-10-11,109.936943
2016-10-12,109.843414
2016-10-13,109.450531
2016-10-14,109.581482
2016-10-17,109.282120
2016-10-18,110.255035
2016-10-19,110.245667
2016-10-20,110.114716
2016-10-21,110.526314
2016-10-24,111.854706
2016-10-25,111.499214
2016-10-26,110.741455
2016-10-27,110.236305
2016-10-28,109.544044
2016-10-31,109.441154
2016-11-01,108.617943
2016-11-02,107.747955
2016-11-03,106.690857
2016-11-04,106.316673
2016-11-07,108.842438
2016-11-08,109.553429
2016-11-09,110.058578
2016-11-10,108.281189
2016-11-11,108.327934
2016-11-14,107.233452
2016-11-15,108.720848
2016-11-16,109.366325
2016-11-17,110.161499
2016-11-18,109.749870
2016-11-21,110.891144
2016-11-22,111.227921
2016-11-23,110.778877
2016-11-25,111.134377
2016-11-28,110.881790
2016-11-29,111.265350
2016-11-30,109.918251
2016-12-01,108.019226
2016-12-02,108.234398
2016-12-05,109.076347
2016-12-06,109.338257
2016-12-07,110.722778
2016-12-08,110.919212
2016-12-09,111.789200
2016-12-12,111.284058
2016-12-13,112.687279
2016-12-14,112.453384
2016-12-15,112.631134
2016-12-16,112.213615
2016-12-19,112.673317
2016-12-20,113.104958
2016-12-21,113.020515
2016-12-22,112.701508
2016-12-23,112.776527
2016-12-27,113.358269
2016-12-28,112.476311
2016-12-29,112.316833
2016-12-30,111.162766
2017-01-03,112.157333
2017-01-04,112.767181
2017-01-05,113.405190
2017-01-06,114.399727
2017-01-09,114.774994
2017-01-10,115.028336
2017-01-11,115.337959
2017-01-12,115.159683
2017-01-13,115.553772
2017-01-17,115.206589
2017-01-18,115.441162
2017-01-19,115.384880
2017-01-20,115.638191
2017-01-23,115.732018
2017-01-24,116.510757
2017-01-25,117.683578
2017-01-26,117.805504
2017-01-27,118.030708
2017-01-30,117.111221
2017-01-31,116.876678
2017-02-01,117.683578
2017-02-02,117.580360
2017-02-03,117.918091
2017-02-06,118.058868
2017-02-07,118.490448
2017-02-08,118.687485
2017-02-09,119.119064
2017-02-10,119.513123
2017-02-13,120.188667
2017-02-14,120.592087
2017-02-15,121.305168
2017-02-16,121.267647
2017-02-17,121.793045
2017-02-21,122.393562
2017-02-22,122.440445
2017-02-23,121.980705
2017-02-24,122.215218
2017-02-27,122.365372
2017-02-28,121.990082
2017-03-01,123.322411
2017-03-02,122.703171
2017-03-03,122.928314
2017-03-06,122.656204
2017-03-07,122.449829
2017-03-08,122.665627
2017-03-09,122.759430
2017-03-10,123.275482
2017-03-13,123.481911
2017-03-14,123.181641
2017-03-15,123.941650
2017-03-16,123.857170
2017-03-17,123.813934
2017-03-20,123.926735
2017-03-21,122.046371
2017-03-22,122.873749
2017-03-23,122.563492
2017-03-24,122.817345
2017-03-27,123.014793
2017-03-28,123.766907
2017-03-29,124.340439
2017-03-30,124.547295
2017-03-31,124.462669
2017-04-03,124.387436
2017-04-04,124.584915
2017-04-05,124.077194
2017-04-06,124.143021
2017-04-07,124.077194
2017-04-10,124.124207
2017-04-11,123.588280
2017-04-12,123.090027
2017-04-13,122.601067
2017-04-17,123.616524
2017-04-18,123.428513
2017-04-19,123.625908
2017-04-20,124.660110
2017-04-21,124.631882
2017-04-24,126.136208
2017-04-25,127.048180
2017-04-26,126.869545
2017-04-27,127.631088
2017-04-28,127.856796
2017-05-01,128.994354
2017-05-02,129.210648
2017-05-03,128.796951
2017-05-04,128.843903
2017-05-05,129.314087
2017-05-08,129.596100
2017-05-09,130.047394
2017-05-10,130.122604
2017-05-11,130.019180
2017-05-12,130.310699
2017-05-15,130.724365
2017-05-16,131.269638
2017-05-17,127.931969
2017-05-18,129.050858
2017-05-19,129.596100
2017-05-22,130.686752
2017-05-23,130.818375
2017-05-24,131.420074
2017-05-25,132.538956
2017-05-26,132.773941
2017-05-30,132.886780
2017-05-31,132.839767
2017-06-01,133.356888
2017-06-02,134.880020
2017-06-05,134.851776
2017-06-06,134.315872
2017-06-07,134.842392
2017-06-08,134.983414
2017-06-09,131.608139
2017-06-12,130.903015
2017-06-13,131.965408
2017-06-14,131.391861
2017-06-15,130.808990
2017-06-16,130.241425
2017-06-19,132.419189
2017-06-20,131.382141
2017-06-21,132.683167
2017-06-22,132.645462
2017-06-23,133.154541
2017-06-26,132.532318
2017-06-27,130.128296
2017-06-28,132.004379
2017-06-29,129.713501
2017-06-30,129.760635
2017-07-03,128.393631
2017-07-05,129.656921
2017-07-06,128.487900
2017-07-07,129.873764
2017-07-10,130.722260
2017-07-11,131.089920
2017-07-12,132.645462
2017-07-13,132.937744
2017-07-14,133.984131
2017-07-17,134.050156
2017-07-18,134.945770
2017-07-19,135.737671
2017-07-20,135.916794
2017-07-21,135.860260
2017-07-24,136.482468
2017-07-25,136.133591
2017-07-26,136.576752
2017-07-27,135.718842
2017-07-28,135.605682
2017-07-31,135.030624
2017-08-01,135.341766
2017-08-02,135.709396
2017-08-03,135.181488
2017-08-04,135.426575
2017-08-07,136.284470
2017-08-08,136.048813
2017-08-09,135.869675
2017-08-10,132.956512
2017-08-11,133.965317
2017-08-14,135.690582
2017-08-15,135.784805
2017-08-16,136.020523
2017-08-17,133.239410
2017-08-18,133.145096
2017-08-21,132.975449
2017-08-22,135.002289
2017-08-23,134.521530
2017-08-24,134.125595
2017-08-25,133.842743
2017-08-28,134.257614
2017-08-29,134.785507
2017-08-30,136.369324
2017-08-31,137.830582
2017-09-01,137.642044
2017-09-05,136.407059
2017-09-06,136.821854
2017-09-07,137.142410
2017-09-08,135.954514
2017-09-11,137.519470
2017-09-12,137.849472
2017-09-13,138.037979
2017-09-14,137.227234
2017-09-15,137.698624
2017-09-18,137.518158
2017-09-19,137.754395
2017-09-20,137.329208
2017-09-21,136.488297
2017-09-22,136.356003
2017-09-25,134.919891
2017-09-26,135.269455
2017-09-27,136.488297
2017-09-28,136.441055
2017-09-29,137.423630
2017-10-02,137.546524
2017-10-03,137.839386
2017-10-04,137.971649
2017-10-05,139.322739
2017-10-06,139.511749
2017-10-09,139.351105
2017-10-10,139.454987
2017-10-11,139.870697
2017-10-12,139.615662
2017-10-13,140.154175
2017-10-16,140.636078
2017-10-17,140.815582
2017-10-18,140.645493
2017-10-19,140.125885
2017-10-20,140.503784
2017-10-23,139.587296
2017-10-24,139.823547
2017-10-25,139.294449
2017-10-26,138.850372
2017-10-27,142.894211
2017-10-30,143.215378
2017-10-31,143.753937
2017-11-01,143.706696
2017-11-02,143.432678
2017-11-03,144.812134
2017-11-06,145.303452
2017-11-07,145.388458
2017-11-08,145.974289
2017-11-09,145.208939
2017-11-10,145.199539
2017-11-13,145.379028
2017-11-14,144.849930
2017-11-15,144.169647
2017-11-16,146.012085
2017-11-17,145.454590
2017-11-20,145.341232
2017-11-21,146.919113
2017-11-22,147.098557
2017-11-24,147.637146
2017-11-27,147.571030
2017-11-28,147.948914
2017-11-29,145.369583
2017-11-30,146.588379
2017-12-01,145.964828
2017-12-04,144.283066
2017-12-05,144.377487
2017-12-06,145.029419
2017-12-07,145.520767
2017-12-08,146.163223
2017-12-11,147.297043
2017-12-12,147.098557
2017-12-13,147.382019
2017-12-14,147.278168
2017-12-15,148.950378
2017-12-18,150.199219
2017-12-19,149.309265
2017-12-20,149.148331
2017-12-21,149.167236
2017-12-22,148.996796
2017-12-26,148.192062
2017-12-27,148.211029
2017-12-28,148.390884
2017-12-29,147.472519
2018-01-02,150.057220
2018-01-03,151.515305
2018-01-04,151.780426
2018-01-05,153.304779
2018-01-08,153.901215
2018-01-09,153.910675
2018-01-10,153.550949
2018-01-11,154.601822
2018-01-12,155.737991
2018-01-16,155.293045
2018-01-17,156.968796
2018-01-18,156.997269
2018-01-19,157.489548
2018-01-22,159.174850
2018-01-23,160.490860
2018-01-24,159.449402
2018-01-25,159.392654
2018-01-26,161.835342
2018-01-29,161.049500
2018-01-30,159.724014
2018-01-31,160.386749
2018-02-01,159.023376
2018-02-02,155.851578
2018-02-05,149.706894
2018-02-06,153.673981
2018-02-07,151.685745
2018-02-08,145.285355
2018-02-09,147.794388
2018-02-12,150.417038
2018-02-13,151.193436
2018-02-14,154.024307
2018-02-15,156.883636
2018-02-16,156.183014
2018-02-20,156.495392
2018-02-21,156.050446
2018-02-22,156.031494
2018-02-23,159.222198
2018-02-26,161.333588
2018-02-27,159.335846
2018-02-28,158.313278
2018-03-01,155.728500
2018-03-02,157.158173
2018-03-05,158.900330
2018-03-06,159.572540
2018-03-07,159.941757
2018-03-08,160.822250
2018-03-09,163.946716
2018-03-12,164.817764
2018-03-13,162.573837
2018-03-14,162.545456
2018-03-15,162.403427
2018-03-16,161.920578
2018-03-19,158.465820
2018-03-20,158.987381
2018-03-21,158.295090
2018-03-22,154.387970
2018-03-23,150.319626
2018-03-26,155.905273
2018-03-27,150.860153
2018-03-28,149.124725
2018-03-29,151.855942
2018-04-02,147.474640
2018-04-03,149.134201
2018-04-04,151.486099
2018-04-05,152.349075
2018-04-06,148.536728
2018-04-09,149.580002
2018-04-10,152.880157
2018-04-11,151.998199
2018-04-12,153.828445
2018-04-13,153.031845
2018-04-16,154.198334
2018-04-17,157.517471
2018-04-18,157.839905
2018-04-19,156.388992
2018-04-20,153.913834
2018-04-23,153.525009
2018-04-24,150.272186
2018-04-25,150.452438
2018-04-26,153.619873
2018-04-27,153.714630
2018-04-30,152.624100
2018-05-01,154.369034
2018-05-02,153.458618
2018-05-03,153.439682
2018-05-04,156.351013
2018-05-07,157.650284
2018-05-08,157.488998
2018-05-09,159.205475
2018-05-10,160.855621
2018-05-11,160.703857
2018-05-14,160.978851
2018-05-15,159.195984
2018-05-16,160.248688
2018-05-17,159.632233
2018-05-18,158.807190
2018-05-21,159.698639
2018-05-22,159.490021
2018-05-23,160.836609
2018-05-24,160.789215
2018-05-25,160.950424
2018-05-29,160.239197
2018-05-30,161.386658
2018-05-31,161.282333
2018-06-01,163.814423
2018-06-04,165.293762
2018-06-05,165.805878
2018-06-06,166.773163
2018-06-07,165.417084
2018-06-08,165.426544
2018-06-11,165.872269
2018-06-12,166.744705
2018-06-13,166.735245
2018-06-14,168.423248
2018-06-15,167.835281
2018-06-18,167.738312
2018-06-19,167.263168
2018-06-20,168.451126
2018-06-21,166.987549
2018-06-22,166.616943
2018-06-25,162.863052
2018-06-26,163.528229
2018-06-27,161.304443
2018-06-28,162.691971
2018-06-29,163.129089
2018-07-02,164.222000
2018-07-03,162.321320
2018-07-05,164.336060
2018-07-06,166.892517
